"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","12540.9603736561","13116.6646217285","14195.679414825","15375.8424621367","15979.2069127436","15971.2095293049","16825.7289791338","18536.363592929","19953.2449664408","22258.1646108333","23747.3009267461","24963.4704544469","26174.1965885986","26738.261258956","26958.5115280824","26803.8342820803","27658.7561001566","28878.9357776323","27030.2897917577","28198.3098912687","29106.1865446837","29850.4588659456","30356.0810991778","31670.0431488108","29761.4360462104","29651.3187304426","31054.4766708701","32421.8283210516","34042.3494752348","37793.6980073515","40664.3181872278","40005.7379064838","34672.2615452009","31488.3900577089","30447.9401252619","31072.459600261","30512.1508807203","31312.4176227826","32161.3620332172","33584.584298666","34314.6521912267","36521.0934092184","37895.0349059907","",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","26087.3449140206","26209.1004483449","25908.6762241668","26996.0730593607","28318.7964538372","29430.8043554619","29451.8067118702","30915.3318077803","31922.5580814389","33463.5081138384","35163.9082114016","35356.1876787509","36070.3498520149","36451.5695067265","36998.834074182","37039.44432448","37618.8270505238","38535.5129650507","38431.6060732693","39555.8081852005","40262.2515654778","40951.095330609","41614.3760706285","40184.6574272887","41552.4961399897","43139.8020053306","44151.9752284872","44594.9003621518","46390.8614703427","47373.4418117804","48344.3402031046","47542.177736635","47162.3892540726","48585.3285787061","49988.9666760011","51284.1412129261","52577.9039921359","54055.3005346438","55943.1350542462","58113.7060128923","59683.5482692006","60021.1713800031","61665.5810781929","62728.0175316907","64519.5604002504","65713.9074666091","66561.10040149","68689.4313315024","69789.3567757845","69689.9274837841","70032.8389710304","70767.3814495454","72267.4260171074","72870.3995035656","73610.117293271","74149.2429772512","75022.6521064299","75466.6110611149","76508.0202738793","76985.3479537209","",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10861.6594470119","11400.4756536122","11630.9328108182","12034.6967073595","12686.8973602153","13043.4007981353","13683.1116516584","13989.7515190363","14539.7224825088","15398.9467903276","16315.260598311","17073.4214147837","18028.2322806617","18805.412388291","19513.5063148783","19494.1820735798","20422.7620687262","21451.997309878","21424.146077155","22610.2827698798","23001.752184568","22910.0624809248","23354.0873287264","24087.3188123106","24101.1866267695","24691.8020326544","25244.0100747788","25570.4265553259","26375.8301729512","27277.9104114446","28247.2439550134","28929.1285976811","29211.5035770362","29124.2329361861","29709.2694438263","30455.2432614964","31128.7411498179","31744.4601502427","32845.3040440207","33947.278663878","35008.9582985399","35317.1278390379","35724.2200125539","35885.3171420821","36638.8051541086","37206.6616843884","38301.8092090345","39600.903479205","40053.663427826","38444.9721052391","39057.2379380453","40063.5274880021","40152.6490360429","39926.8711151164","39878.0123364859","39833.5323259551","40189.0343091897","40868.5356836198","41719.2945981351","42136.9896160522","",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1603.02025070447","1567.27957639939","1194.83390680033","904.974382921948","716.93756746084","625.098100195185","626.861947700631","656.852792396262","715.712637432074","761.958999091792","839.61046641652","915.610513857382","994.585135738716","1087.84202280759","1178.14964184675","1492.24545243302","1984.64267403693","2461.92301865685","2666.09991555789","2855.97473992827","2957.35787024377","2873.15648110417","2897.68996353616","3027.59928769866","3073.69241513363","3069.17332489338","2942.0734894257","2917.82055124029","2936.05355696826","2976.18014314222","",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","158342.12868815","133966.430376668","143349.862998831","146402.309517185","152405.710756166","154965.397005861","158222.221424249","175511.296541934","170598.77645356","164318.285104241","195625.845932096","198099.778120245","183353.073439811","194056.658551395","190463.975610998","188971.514077972","200194.799045031","218317.466733193","211071.57382562","209184.777960541","205868.150603197","224997.25382736","216872.386538417","219038.059887486","213512.491424352","232153.517168154","233032.619830531","238990.487275732","244139.395807817","240982.723882101","243368.643436363","249745.152244612","246914.841831902","227015.8825385","214586.340167694","194684.319170582","176950.012813297","172372.452937131","178708.527551741","174601.301825207","170072.696437975","169667.769144186","172491.931281588","165324.747820066","167907.788347031","164055.212439826","167413.417379866","167589.180350471","170029.984856208","170804.680537502","173804.65355603","175105.481935067","177203.344845353","180193.597908826","182034.329114613","169498.706667205","163213.125002503","158892.969517755","156418.358725763","154393.049517023","",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10576.0881824716","11065.78826005","11596.2859688885","12010.7782270188","12725.3161615209","13059.2850421326","13380.7344401321","13821.1714490341","14344.3089200471","15252.0574756465","16087.6857442285","16698.4528947205","17514.0200687563","18573.1784530863","19360.0826980505","18924.7074188578","19958.7799304294","20058.9687578011","20609.7859918976","21073.326359599","21985.5924015254","21924.7685004395","22061.2127082538","22131.7671721025","22677.9618263014","23045.689280554","23457.3935265316","23978.02524236","25030.8511781454","25805.3054948244","26535.6647921184","26921.8573547906","27223.2652786546","26856.2957417218","27637.6309944153","28237.5196696476","28554.8159297216","29566.4528257595","30082.1875274429","31076.6163600377","32153.5617607609","32395.5118178363","32801.0986389439","33003.1139731921","34034.1077945717","34633.263149135","35283.7392792046","36313.438173485","36188.7186830443","35173.2919198855","35851.7017808863","35987.9506415139","36029.8415440015","36025.1042013254","36431.6819871645","36960.6311616367","37239.7833211048","37693.1467677196","38201.9722668677","38675.2240388957","",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","401444.727820093","408304.994885734","388481.117183476","400462.319321842","419976.747849925","434416.512209089","441595.854017898","437685.120795099","445338.942653269","448659.767452963","448370.292003252","432128.258543536","449775.124445876","455941.995030657","460267.423797962","427311.992333309","420528.933386371","430394.219754896","424604.233373008","440530.759887725","457923.769326971","489935.667523096","487166.031567866","453039.253398102","475217.179724537","496469.4927676","492737.079203389","471352.908626574","473052.357621587","445519.752074545","470055.002480834","473649.516386932","470984.765372078","481323.776633128","474509.75484582","486891.477378563","492218.142692414","504920.542426908","509617.631565409","521224.027617841","535534.698689227","547293.786553767","555539.426657422","557464.575420298","564922.934233324","557884.54973394","563324.6954416","580247.913816459","591714.699949557","588666.393581546","584477.945451911","585161.978388788","596394.808725196","621690.168550669","643072.577570454","636615.408239372","639958.160669908","657909.779544069","683033.888931069","710377.148405333","",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","142840.027785194","146633.884712438","153558.124926473","149575.710765051","150857.855547028","154238.614817337","152663.699014956","163439.250990317","165636.371511741","166114.720601613","163457.96741086","162907.157156373","163760.230590563","161575.02688139","171790.220649822","173649.196805889","184880.473648217","181943.219767197","186483.365952306","189236.395857928","186517.686551725","189935.959944139","203065.955986839","198698.542164076","190231.912529552","201181.170146329","211632.442637965","205701.531774832","211991.827782769","210908.741955496","204136.009971893","216769.981217854","211501.336716032","212972.514466406","209967.815304055","215958.169008585","233207.499046781","241132.172061327","251601.431962369","262688.561347146","260150.143074457","269537.98509735","273296.764046498","286203.914246029","290394.282506006","306347.019787765","315917.875070792","319148.089362203","327597.569171649","327245.534115161","344330.86389635","356251.930445331","368041.069989547","377922.33625758","382767.684814589","386254.554232919","397508.298930763","410138.161780965","425373.229685693","437009.138356661","",
"Bangladesh","BGD","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","19592.4050533783","20211.3386864691","20730.0240677455","20062.3895973961","21622.0343299049","21317.4622252276","21186.587066712","20128.3048150574","21356.7252346883","21010.0065515562","21654.3124691959","20061.9988456567","16975.1833290169","17277.3377886508","18630.289680872","17530.9733919021","18113.4341160275","18139.10267841","18910.8849218248","19287.4539509677","18930.1413792311","19771.235630678","19672.4349199443","19911.5567386341","20331.2574094608","20467.2777112972","20766.9735823122","20990.953503931","20947.4423226854","21004.8557464293","21653.2722874809","21892.8969886276","22574.6902328892","23131.287399251","23522.3022908853","24204.7421562208","24766.2021598109","25337.4809392539","26101.3247861976","26773.2274451344","27645.3652432541","28506.1880316094","29065.0183457512","29920.068537207","30983.2363543858","32521.8152010884","34227.4319953652","36196.6801489434","37936.3542564921","39407.7162910153","41138.0958875797","43299.11747006","45593.2209235983","47779.1409344609","50099.3477744068","52789.0668532251","55930.4932479944","59365.7969316867","63365.301127651","67820.8853994422","",
"Bulgaria","BGR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","5931.52665766641","6201.47899085603","6327.51128650729","6528.25290330058","6734.206706808","6915.01701839158","7207.88467293785","7633.04985884099","8458.95278791804","8276.94228705193","7659.21689672211","7082.16622393371","6638.02489038852","6592.14196878704","6734.81956906724","6958.02412709773","7353.41725392828","6348.29118337338","6664.65874251797","6147.12450600588","6472.9736411914","6855.1746241982","7422.65279480669","7867.12648869945","8437.36092141104","9109.26414145397","9803.06437739557","10522.9488725356","11241.9700019793","10932.783151137","11066.5553932819","11399.9899024649","11507.0996160905","11609.3763140707","11895.6890272314","12449.4929012867","13016.0907497409","13570.7777347682","14091.8348188059","14715.6512386247","",
